MPN,Ref. Des.,Value,Manufacturer,Description,Package,QTY
3362P-1-503LF,"BIAS1, BIAS2",50k,Bourns,TRIMPOT 50K LIN TOP ADJUST,th-trimmer-3362P,2
MCVVT025M101EA6L,C1,100u,Multicomp,CAPACITOR ALUM 100UF 25V ±20%,smd-capacitor-elec-6.3x7.7mm,1
GRM1885C1H103JA01D,"C2, C9",10n,Murata,CAPACITOR MLCC 10NF C0G/NP0 0603 50V ±5%,smd-capacitor-0603,2
MC0603N101J500CT,C3,100p,Multicomp,CAPACITOR MLCC 100PF C0G/NP0 0603 50V ±5%,smd-capacitor-0603,1
EEEFC1V220P,"C4, C6",22u,Panasonic,CAPACITOR ALUM 22UF 35V LESR ±20%,smd-capacitor-elec-6.3x5.4mm,2
GRM31C5C1H104JA01L,C5,100n,Murata,CAPACITOR MLCC 100NF C0G/NP0 1206 50V ±5%,smd-capacitor-1206,1
EEEFC1V100R,"C7, C10, C11",10u,Panasonic,CAPACITOR ALUM 10UF 35V LESR ±20%,smd-capacitor-elec-5x5.4mm,3
MC0603B473K500CT,C8,47n,Multicomp,"CAPACITOR MLCC 47NF X7R 0603 50V ±10%,",smd-capacitor-0603,1
RV16AF-41-15R1-A100K,"DRIVE, VOL",100kA,Alpha Taiwan,100K OHM LOGARITHMIC TAPER POTENTIOMETER PCB MOUNT ROUND,th-pot-rv16af-41,2
S2B-XH-A,"FSW, LED",S2B-XH-A,KNOCKOFF,HEADER XH MALE 1X2 PINS 2.5MM PITCH ANGLED,th-connector-s2b-xh-knockoff,2
B10B-XH-A,J1,B10B-XH-A,JST,HEADER XH MALE 1X10 PINS 2.5MM PITCH STRAIGHT,th-connector-b10b-xh,1
MMBFJ201,"Q1, Q2",J201,ON Semiconductor,JFET N-CH 25V 350MW SOT23,smd-generic-sot-23-3,2
MMBT2222AWT1G,Q3,MMBT2222,ON Semiconductor,TRANSISTOR NPN 40V 0.6A SOT323,smd-generic-sot-323-3,1
CRCW120647R0FKEA,R1,47R,Vishay,RESISTOR 47 OHM 1% 1/4W 1206,smd-resistor-1206,1
CRCW06032M20FKEA,"R2, R4",2.2M,Vishay,RESISTOR 2.2M OHM 1% 1/10W 0603,smd-resistor-0603,2
CRCW060333K0FKEA,R3,33k,Vishay,RESISTOR 33K OHM 1% 1/10W 0603,smd-resistor-0603,1
CRCW06031K00FKEA,"R5, R7, R11",1k,Vishay,RESISTOR 1K OHM 1% 1/10W 0603,smd-resistor-0603,3
CRCW06035K10FKEA,R6,5.1k,Vishay,RESISTOR 5.1K OHM 1% 1/10W 0603,smd-resistor-0603,1
CRCW0603330KFKEA,"R8, R12",330k,Vishay,RESISTOR 330K OHM 1% 1/10W 0603,smd-resistor-0603,2
CRCW06031M00FKEA,R9,1M,Vishay,RESISTOR 1M OHM 1% 1/10W 0603,smd-resistor-0603,1
CRCW060310K0FKEA,R10,10k,Vishay,RESISTOR 10K OHM 1% 1/10W 0603,smd-resistor-0603,1
RV16AF-41-15R1-B10K,SAG,10kB,Alpha Taiwan,10K OHM LINEAR TAPER POTENTIOMETER PCB MOUNT ROUND,th-pot-rv16af-41,1
MTS-103R-A2,TONE,SPDT,DAIER,ON-OFF-ON SPDT 3 POSITION 3A 250VAC MINI TOGGLE SWITCH,th-switch-mts-103,1
Test point,"TP1, TP2",Test point,"",TH test point,th-test-point,2
